year,month,revenue,active_customers,order_count,prev_month_revenue,mom_growth_pct,yoy_revenue,yoy_growth_pct
2009,12,600788.68,952,1502,,,,
2010,1,448942.0,718,995,600788.68,-25.27,,
2010,2,440077.17,771,1093,448942.0,-1.97,,
2010,3,589485.06,1051,1509,440077.17,33.95,,
2010,4,542553.58,939,1316,589485.06,-7.96,,
2010,5,535709.68,965,1365,542553.58,-1.26,,
2010,6,556825.98,1035,1482,535709.68,3.94,,
2010,7,519390.71,924,1362,556825.98,-6.72,,
2010,8,520701.65,910,1276,519390.71,0.25,,
2010,9,697507.07,1136,1659,520701.65,33.96,,
2010,10,905734.16,1492,2108,697507.07,29.85,,
2010,11,1040138.9,1606,2570,905734.16,14.84,,
2010,12,501514.98,884,1394,1040138.9,-51.78,600788.68,-16.52
2011,1,421875.36,739,983,501514.98,-15.88,448942.0,-6.03
2011,2,400990.36,757,992,421875.36,-4.95,440077.17,-8.88
2011,3,525924.78,973,1312,400990.36,31.16,589485.06,-10.78
2011,4,403078.37,853,1139,525924.78,-23.36,542553.58,-25.71
2011,5,601305.65,1054,1544,403078.37,49.18,535709.68,12.24
2011,6,577646.44,990,1390,601305.65,-3.93,556825.98,3.74
2011,7,527970.73,946,1321,577646.44,-8.6,519390.71,1.65
2011,8,551090.37,933,1267,527970.73,4.38,520701.65,5.84
2011,9,813736.8,1259,1739,551090.37,47.66,697507.07,16.66
2011,10,883463.2,1361,1903,813736.8,8.57,905734.16,-2.46
2011,11,1048739.34,1660,2642,883463.2,18.71,1040138.9,0.83
2011,12,298619.4,614,776,1048739.34,-71.53,501514.98,-40.46
