rank,stock_code,description,revenue,units_sold,unique_buyers,cumulative_pct
1,22423,REGENCY CAKESTAND 3 TIER,261669.25,22664,1314,1.75
2,85123A,WHITE HANGING HEART T-LIGHT HOLDER,196211.7,72520,1490,3.06
3,85099B,JUMBO BAG RED RETROSPOT,134446.84,73776,978,3.96
4,47566,PARTY BUNTING,100023.38,22660,894,4.63
5,84879,ASSORTED COLOUR BIRD ORNAMENT,93187.89,57053,1010,5.25
6,22086,PAPER CHAIN KIT 50'S CHRISTMAS,63642.88,23224,896,5.68
7,79321,CHILLI LIGHTS,60360.42,12807,304,6.08
8,48138,DOORMAT UNION FLAG,58831.95,8679,678,6.48
9,20725,LUNCH BAG RED RETROSPOT,57878.6,36700,845,6.86
10,22386,JUMBO BAG PINK POLKADOT,57211.76,31138,601,7.25
11,20685,DOORMAT RED RETROSPOT,56563.14,8494,626,7.62
12,21843,RED RETROSPOT CAKE STAND,54991.95,5393,599,7.99
13,22502,PICNIC BASKET WICKER SMALL,54565.1,3046,335,8.36
14,85099F,JUMBO BAG STRAWBERRY,52082.97,28722,549,8.7
15,21621,VINTAGE UNION JACK BUNTING,49867.34,5953,583,9.04
16,15056N,EDWARDIAN PARASOL NATURAL,47892.21,9056,347,9.36
17,22139,RETROSPOT TEA SET CERAMIC 11 PC,46817.45,9884,941,9.67
18,21931,JUMBO STORAGE BAG SUKI,46431.99,25170,546,9.98
19,85099C,JUMBO  BAG BAROQUE BLACK WHITE,46119.48,25269,506,10.29
20,22112,CHOCOLATE HOT WATER BOTTLE,45414.34,9860,631,10.59
21,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,44584.03,16069,647,10.89
22,21137,BLACK RECORD COVER FRAME,43972.52,12777,198,11.19
23,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,42483.43,22745,658,11.47
24,21754,HOME BUILDING BLOCK WORD,42453.11,7231,682,11.75
25,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,42346.27,15429,701,12.04
26,21181,PLEASE ONE PERSON METAL SIGN,42175.66,21258,598,12.32
27,21733,RED HANGING HEART T-LIGHT HOLDER,41981.28,15028,744,12.6
28,82484,WOOD BLACK BOARD ANT WHITE FINISH,41724.4,6950,451,12.88
29,22138,BAKING SET 9 PIECE RETROSPOT,40507.31,8495,1137,13.15
30,22111,SCOTTIE DOG HOT WATER BOTTLE,40358.6,8676,717,13.42
31,82494L,WOODEN FRAME ANTIQUE WHITE,39745.97,14304,631,13.69
32,22178,VICTORIAN GLASS HANGING T-LIGHT,39727.35,31125,593,13.95
33,22090,PAPER BUNTING RETROSPOT,38634.49,14047,631,14.21
34,22457,NATURAL SLATE HEART CHALKBOARD,38457.97,13423,874,14.47
35,21232,STRAWBERRY CERAMIC TRINKET BOX,38011.71,32199,689,14.72
36,21929,JUMBO BAG PINK VINTAGE PAISLEY,37983.4,20958,504,14.98
37,22470,HEART OF WICKER LARGE,37874.26,13202,827,15.23
38,15056BL,EDWARDIAN PARASOL BLACK,37573.07,7071,321,15.48
39,48187,DOORMAT NEW ENGLAND,37398.69,5659,525,15.73
40,22383,LUNCH BAG SUKI  DESIGN,37210.05,23321,664,15.98
41,21928,JUMBO BAG SCANDINAVIAN PAISLEY,36664.83,20212,450,16.22
42,82486,WOOD S/3 CABINET ANT WHITE FINISH,36487.88,4620,365,16.47
43,48194,DOORMAT HEARTS,36388.46,5622,516,16.71
44,20727,LUNCH BAG  BLACK SKULL.,36276.0,22872,705,16.95
45,84078A,SET/4 WHITE RETRO STORAGE CUBES,36259.65,1007,151,17.2
46,21523,DOORMAT FANCY FONT HOME SWEET HOME,35383.84,5384,357,17.43
47,82482,WOODEN PICTURE FRAME WHITE FINISH,35109.82,14691,601,17.67
48,22326,ROUND SNACK BOXES SET OF4 WOODLAND,35008.52,12576,439,17.9
49,85066,CREAM SWEETHEART MINI CHEST,34390.77,2876,471,18.13
50,23298,SPOTTY BUNTING,34085.85,7283,573,18.36
